"","site","depth","date","data","delta"
"1468","RAI","Shallow",2005-06-13,0.03,0
"1469","RAI","Shallow",2005-07-26,0.03,0
"1470","RAI","Shallow",2005-08-26,0.03,0
"1471","RAI","Shallow",2005-09-27,0.03,0
"1472","RAI","Shallow",2005-10-25,0.03,0
"1473","RAI","Shallow",2005-11-23,0.03,0
"1474","RAI","Shallow",2005-12-28,0.03,0
"1504","TAR","Shallow",2003-08-28,0.01,0
"1505","TAR","Shallow",2003-09-25,0.01,0
"1506","TAR","Shallow",2003-10-29,0.01,0
"1507","TAR","Shallow",2003-11-27,0.01,0
"1508","TAR","Shallow",2003-12-30,0.01,0
"1509","TAR","Shallow",2004-01-29,0.01,0
"1510","TAR","Shallow",2004-02-27,0.01,0
"1511","TAR","Shallow",2004-03-25,0.01,0
"1512","TAR","Shallow",2004-04-28,0.01,0
"1513","TAR","Shallow",2004-05-27,0.01,0
"1514","TAR","Shallow",2004-06-24,0.01,0
"1515","TAR","Shallow",2004-07-29,0.01,0
"1516","TAR","Shallow",2004-08-26,0.01,0
"1517","TAR","Shallow",2004-09-30,0.01,0
"1518","TAR","Shallow",2004-10-28,0.01,0
"1519","TAR","Shallow",2004-11-25,0,-0.01
"1520","TAR","Shallow",2004-12-22,0.01,0.01
"1521","TAR","Shallow",2005-01-27,0.01,0
"1522","TAR","Shallow",2005-02-23,0.01,0
"1523","TAR","Shallow",2005-03-23,0.01,0
"1524","TAR","Shallow",2005-04-28,0.01,0
"1525","TAR","Shallow",2005-05-26,0.01,0
"1526","TAR","Shallow",2005-06-14,0.01,0
"1527","TAR","Shallow",2005-07-27,0.01,0
"1528","TAR","Shallow",2005-08-30,0.01,0
"1529","TAR","Shallow",2005-09-28,0.01,0
"1530","TAR","Shallow",2005-10-26,0.01,0
"1531","TAR","Shallow",2005-11-22,0,-0.01
"1532","TAR","Shallow",2005-12-27,0.01,0.01
"1567","TMR","Shallow",2003-01-24,0.05,0
"1568","TMR","Shallow",2003-03-27,0,-0.05
